,MAE,RMSE,MAPE,R,Type,Time
PhysFormertn_RLAP_COHFACE.h5,3.523±0.2,9.227±3.077,4.777±0.261,0.70438,Window,2024-10-15 23:30:47
PhysFormertn_RLAP_COHFACE.h5,2.597±0.423,6.01±3.32,3.415±0.52,0.85647,Whole,2024-10-15 23:30:47
PhysFormertn_RLAP_PURE.h5,0.43±0.048,1.398±0.756,0.659±0.08,0.99815,Window,2024-10-15 23:31:07
PhysFormertn_RLAP_PURE.h5,0.238±0.07,0.59±0.478,0.363±0.125,0.9997,Whole,2024-10-15 23:31:07
PhysFormertn_RLAP_UBFC.h5,1.171±0.084,2.252±1.049,1.204±0.091,0.99121,Window,2024-10-15 23:31:34
PhysFormertn_RLAP_UBFC.h5,0.446±0.078,0.673±0.42,0.436±0.069,0.99933,Whole,2024-10-15 23:31:34
TNTS-SAN-F2W_RLAP_MMPD.h5,11.542±0.193,20.033±3.25,13.84±0.24,0.42712,Window,2024-10-26 01:09:16
TNTS-SAN-F2W_RLAP_MMPD.h5,6.708±0.327,10.74±3.353,8.066±0.401,0.71322,Whole,2024-10-26 01:09:16
TNTS-SAN-F2W_RLAP_MMPD.h5,12.193±0.196,20.646±3.274,14.156±0.225,0.39817,Window,2024-10-26 01:27:23
TNTS-SAN-F2W_RLAP_MMPD.h5,7.744±0.377,12.373±3.784,8.771±0.393,0.65779,Whole,2024-10-26 01:27:23
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.451±0.198,9.14±2.894,4.774±0.273,0.73045,Window,2024-10-26 01:27:39
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.463±0.374,5.389±3.138,3.36±0.476,0.8886,Whole,2024-10-26 01:27:39
TNTS-SAN-F2W_RLAP_PURE.h5,0.438±0.047,1.369±0.789,0.664±0.076,0.99823,Window,2024-10-26 01:27:44
TNTS-SAN-F2W_RLAP_PURE.h5,0.229±0.06,0.515±0.389,0.346±0.103,0.99978,Whole,2024-10-26 01:27:44
TNTS-SAN-F2W_RLAP_UBFC.h5,1.216±0.087,2.322±1.072,1.234±0.087,0.99071,Window,2024-10-26 01:27:49
TNTS-SAN-F2W_RLAP_UBFC.h5,0.507±0.087,0.757±0.449,0.507±0.083,0.99914,Whole,2024-10-26 01:27:49
TNTS-SAN-F2W_RLAP_MMPD.h5,11.531±0.192,19.987±3.242,13.977±0.247,0.43107,Window,2024-10-26 01:42:05
TNTS-SAN-F2W_RLAP_MMPD.h5,7.067±0.332,11.054±3.239,8.675±0.436,0.69704,Whole,2024-10-26 01:42:05
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.7±0.22,10.093±3.235,5.154±0.305,0.69374,Window,2024-10-26 01:42:18
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.673±0.427,6.088±3.8,3.713±0.569,0.85355,Whole,2024-10-26 01:42:18
TNTS-SAN-F2W_RLAP_PURE.h5,0.501±0.078,2.2±1.67,0.776±0.135,0.99542,Window,2024-10-26 01:42:23
TNTS-SAN-F2W_RLAP_PURE.h5,0.295±0.092,0.767±0.565,0.463±0.166,0.99948,Whole,2024-10-26 01:42:23
TNTS-SAN-F2W_RLAP_UBFC.h5,1.21±0.088,2.349±1.083,1.245±0.096,0.99037,Window,2024-10-26 01:42:27
TNTS-SAN-F2W_RLAP_UBFC.h5,0.533±0.096,0.817±0.484,0.547±0.102,0.99888,Whole,2024-10-26 01:42:27
TNTS-SAN-F2W_RLAP_MMPD.h5,11.642±0.194,20.175±3.256,14.071±0.246,0.4172,Window,2024-10-26 01:59:19
TNTS-SAN-F2W_RLAP_MMPD.h5,7.004±0.339,11.161±3.332,8.554±0.435,0.68694,Whole,2024-10-26 01:59:19
TNTS-SAN-F2W_RLAP_MMPD.h5,11.467±0.192,19.954±3.239,13.921±0.247,0.43191,Window,2024-10-26 02:21:14
TNTS-SAN-F2W_RLAP_MMPD.h5,6.776±0.332,10.864±3.312,8.337±0.434,0.70662,Whole,2024-10-26 02:21:14
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.501±0.206,9.481±3.094,4.846±0.284,0.71182,Window,2024-10-26 02:21:26
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.461±0.39,5.571±3.279,3.372±0.515,0.87668,Whole,2024-10-26 02:21:26
TNTS-SAN-F2W_RLAP_PURE.h5,0.449±0.05,1.46±0.836,0.677±0.079,0.99798,Window,2024-10-26 02:21:32
TNTS-SAN-F2W_RLAP_PURE.h5,0.245±0.066,0.56±0.418,0.358±0.111,0.99972,Whole,2024-10-26 02:21:32
TNTS-SAN-F2W_RLAP_UBFC.h5,1.224±0.089,2.37±1.097,1.259±0.096,0.99018,Window,2024-10-26 02:21:36
TNTS-SAN-F2W_RLAP_UBFC.h5,0.544±0.095,0.822±0.487,0.557±0.101,0.99886,Whole,2024-10-26 02:21:36
