,MAE,RMSE,MAPE,R,Type,Time
PhysNet16_RLAP_MMPD.h5,19.748±0.205,26.32±3.456,22.887±0.233,0.15809,Window,2024-11-02 00:41:03
PhysNet16_RLAP_MMPD.h5,15.368±0.527,20.456±5.189,17.637±0.551,0.24189,Whole,2024-11-02 00:41:03
PhysNet16_RLAP_COHFACE.h5,24.327±0.52,32.948±5.684,35.813±0.852,0.11675,Window,2024-11-02 00:41:18
PhysNet16_RLAP_COHFACE.h5,19.302±1.303,25.513±8.539,29.149±2.16,0.16777,Whole,2024-11-02 00:41:18
PhysNet16_RLAP_PURE.h5,16.424±0.68,24.932±7.229,20.583±0.529,-0.02808,Window,2024-11-02 00:41:26
PhysNet16_RLAP_PURE.h5,16.377±2.415,24.746±13.602,20.496±1.761,-0.07566,Whole,2024-11-02 00:41:26
PhysNet16_RLAP_UBFC.h5,1.309±0.099,2.613±1.32,1.344±0.105,0.98812,Window,2024-11-02 00:41:31
PhysNet16_RLAP_UBFC.h5,0.546±0.103,0.862±0.573,0.534±0.095,0.99881,Whole,2024-11-02 00:41:31
PhysNet16TN_RLAP_MMPD.h5,10.847±0.181,18.813±3.113,12.341±0.2,0.39825,Window,2024-11-02 00:44:48
PhysNet16TN_RLAP_MMPD.h5,7.879±0.402,12.957±4.077,8.711±0.399,0.62876,Whole,2024-11-02 00:44:48
PhysNet16TN_RLAP_COHFACE.h5,3.09±0.172,7.96±2.546,4.222±0.226,0.77363,Window,2024-11-02 00:45:04
PhysNet16TN_RLAP_COHFACE.h5,2.053±0.329,4.685±2.72,2.744±0.404,0.91621,Whole,2024-11-02 00:45:04
PhysNet16TN_RLAP_PURE.h5,0.517±0.065,1.865±1.046,0.793±0.11,0.99672,Window,2024-11-02 00:45:11
PhysNet16TN_RLAP_PURE.h5,0.321±0.112,0.92±0.834,0.499±0.212,0.99925,Whole,2024-11-02 00:45:11
PhysNet16TN_RLAP_UBFC.h5,1.205±0.09,2.373±1.096,1.232±0.095,0.99022,Window,2024-11-02 00:45:16
PhysNet16TN_RLAP_UBFC.h5,0.47±0.084,0.721±0.443,0.457±0.077,0.99921,Whole,2024-11-02 00:45:16
PhysNet8_RLAP_MMPD.h5,22.577±0.249,30.937±3.912,27.749±0.332,0.07928,Window,2024-11-02 00:49:29
PhysNet8_RLAP_MMPD.h5,16.806±0.609,22.928±5.705,20.7±0.836,0.10115,Whole,2024-11-02 00:49:29
PhysNet8_RLAP_COHFACE.h5,18.901±0.485,28.051±5.284,27.037±0.747,0.0438,Window,2024-11-02 00:49:57
PhysNet8_RLAP_COHFACE.h5,14.161±1.117,20.126±7.719,20.175±1.762,0.08245,Whole,2024-11-02 00:49:57
PhysNet8_RLAP_PURE.h5,39.581±0.97,47.784±8.297,66.447±1.953,0.26659,Window,2024-11-02 00:50:09
PhysNet8_RLAP_PURE.h5,39.581±2.897,45.408±14.841,66.518±6.152,0.32826,Whole,2024-11-02 00:50:09
PhysNet8_RLAP_UBFC.h5,1.375±0.138,3.436±2.594,1.419±0.145,0.97966,Window,2024-11-02 00:50:18
PhysNet8_RLAP_UBFC.h5,0.688±0.165,1.272±0.996,0.719±0.183,0.99721,Whole,2024-11-02 00:50:18
PhysNet8TN_RLAP_MMPD.h5,11.735±0.188,19.821±3.184,13.691±0.224,0.37411,Window,2024-11-02 00:54:31
PhysNet8TN_RLAP_MMPD.h5,7.851±0.382,12.552±3.846,9.031±0.421,0.61444,Whole,2024-11-02 00:54:31
PhysNet8TN_RLAP_COHFACE.h5,4.809±0.249,11.687±3.189,6.195±0.302,0.58683,Window,2024-11-02 00:55:00
PhysNet8TN_RLAP_COHFACE.h5,4.102±0.559,8.247±4.06,5.187±0.649,0.76574,Whole,2024-11-02 00:55:00
PhysNet8TN_RLAP_PURE.h5,0.572±0.074,2.131±1.178,0.886±0.126,0.99572,Window,2024-11-02 00:55:12
PhysNet8TN_RLAP_PURE.h5,0.394±0.115,0.97±0.755,0.61±0.205,0.99917,Whole,2024-11-02 00:55:12
PhysNet8TN_RLAP_UBFC.h5,1.173±0.081,2.196±0.99,1.206±0.087,0.99165,Window,2024-11-02 00:55:21
PhysNet8TN_RLAP_UBFC.h5,0.463±0.082,0.704±0.431,0.467±0.082,0.99922,Whole,2024-11-02 00:55:21
PhysNet4_RLAP_MMPD.h5,28.888±0.243,35.504±4.052,34.713±0.31,0.03017,Window,2024-11-02 00:59:35
PhysNet4_RLAP_MMPD.h5,23.222±0.665,28.798±6.32,27.72±0.848,0.03201,Whole,2024-11-02 00:59:35
PhysNet4_RLAP_COHFACE.h5,42.936±0.435,46.795±5.671,64.906±0.826,0.04197,Window,2024-11-02 01:00:03
PhysNet4_RLAP_COHFACE.h5,37.99±1.518,42.675±10.401,57.613±2.749,0.06861,Whole,2024-11-02 01:00:03
PhysNet4_RLAP_PURE.h5,17.237±0.906,30.374±7.792,27.876±1.62,0.50176,Window,2024-11-02 01:00:14
PhysNet4_RLAP_PURE.h5,15.701±2.321,23.759±11.132,25.608±4.208,0.64016,Whole,2024-11-02 01:00:14
PhysNet4_RLAP_UBFC.h5,6.794±0.6,15.291±5.498,7.783±0.752,0.66475,Window,2024-11-02 01:00:22
PhysNet4_RLAP_UBFC.h5,5.149±1.243,9.563±6.39,5.994±1.683,0.82154,Whole,2024-11-02 01:00:22
PhysNet4TN_RLAP_MMPD.h5,13.687±0.201,21.872±3.351,16.052±0.241,0.28939,Window,2024-11-02 01:04:22
PhysNet4TN_RLAP_MMPD.h5,9.513±0.405,14.068±4.006,11.092±0.453,0.50055,Whole,2024-11-02 01:04:22
PhysNet4TN_RLAP_COHFACE.h5,4.925±0.257,12.028±3.338,6.412±0.316,0.57311,Window,2024-11-02 01:04:50
PhysNet4TN_RLAP_COHFACE.h5,4.095±0.566,8.327±4.388,5.232±0.653,0.75775,Whole,2024-11-02 01:04:50
PhysNet4TN_RLAP_PURE.h5,1.017±0.146,4.164±2.4,1.765±0.287,0.98376,Window,2024-11-02 01:05:02
PhysNet4TN_RLAP_PURE.h5,0.753±0.237,1.97±1.494,1.312±0.457,0.99668,Whole,2024-11-02 01:05:02
PhysNet4TN_RLAP_UBFC.h5,1.286±0.092,2.459±1.233,1.319±0.095,0.98943,Window,2024-11-02 01:05:11
PhysNet4TN_RLAP_UBFC.h5,0.513±0.099,0.822±0.538,0.512±0.095,0.99887,Whole,2024-11-02 01:05:11
PhysNet16_RLAP_MMPD.h5,18.787±0.2,25.327±3.405,21.113±0.202,0.18877,Window,2024-11-02 01:10:42
PhysNet16_RLAP_MMPD.h5,16.389±0.547,21.559±5.341,18.282±0.513,0.28661,Whole,2024-11-02 01:10:42
PhysNet16_RLAP_COHFACE.h5,12.575±0.314,18.397±3.925,17.195±0.452,0.12834,Window,2024-11-02 01:10:58
PhysNet16_RLAP_COHFACE.h5,9.714±0.67,12.959±4.493,13.344±0.871,0.23946,Whole,2024-11-02 01:10:58
PhysNet16_RLAP_PURE.h5,16.292±0.673,24.714±7.201,20.326±0.49,0.00883,Window,2024-11-02 01:11:05
PhysNet16_RLAP_PURE.h5,16.233±2.421,24.682±13.616,20.215±1.751,0.00273,Whole,2024-11-02 01:11:05
PhysNet16_RLAP_UBFC.h5,1.291±0.098,2.582±1.288,1.319±0.102,0.98847,Window,2024-11-02 01:11:10
PhysNet16_RLAP_UBFC.h5,0.577±0.109,0.911±0.575,0.567±0.1,0.9987,Whole,2024-11-02 01:11:10
PhysNet16TN_RLAP_MMPD.h5,10.808±0.179,18.659±3.07,12.265±0.196,0.40664,Window,2024-11-02 01:14:29
PhysNet16TN_RLAP_MMPD.h5,7.836±0.396,12.81±4.049,8.639±0.389,0.63986,Whole,2024-11-02 01:14:29
PhysNet16TN_RLAP_COHFACE.h5,3.18±0.175,8.122±2.563,4.313±0.226,0.7645,Window,2024-11-02 01:14:45
PhysNet16TN_RLAP_COHFACE.h5,2.226±0.358,5.093±2.806,2.952±0.434,0.89966,Whole,2024-11-02 01:14:45
PhysNet16TN_RLAP_PURE.h5,0.445±0.054,1.566±0.92,0.681±0.09,0.99769,Window,2024-11-02 01:14:53
PhysNet16TN_RLAP_PURE.h5,0.26±0.081,0.672±0.579,0.401±0.149,0.99961,Whole,2024-11-02 01:14:53
PhysNet16TN_RLAP_UBFC.h5,1.202±0.087,2.319±1.066,1.231±0.094,0.99067,Window,2024-11-02 01:14:58
PhysNet16TN_RLAP_UBFC.h5,0.475±0.082,0.71±0.439,0.462±0.074,0.99924,Whole,2024-11-02 01:14:58
PhysNet8_RLAP_MMPD.h5,27.155±0.25,34.447±3.962,34.673±0.365,-0.03685,Window,2024-11-02 01:19:21
PhysNet8_RLAP_MMPD.h5,22.03±0.698,28.364±6.418,28.448±1.065,-0.06177,Whole,2024-11-02 01:19:21
PhysNet8_RLAP_COHFACE.h5,29.078±0.55,37.396±5.84,43.123±0.901,-0.00456,Window,2024-11-02 01:19:52
PhysNet8_RLAP_COHFACE.h5,23.463±1.635,31.447±10.128,35.083±2.714,0.0074,Whole,2024-11-02 01:19:52
PhysNet8_RLAP_PURE.h5,51.962±0.689,55.331±7.66,88.395±1.646,0.0569,Window,2024-11-02 01:20:04
PhysNet8_RLAP_PURE.h5,51.982±2.372,55.082±14.325,88.441±5.748,0.13776,Whole,2024-11-02 01:20:04
PhysNet8_RLAP_UBFC.h5,1.445±0.148,3.676±2.634,1.489±0.154,0.9768,Window,2024-11-02 01:20:12
PhysNet8_RLAP_UBFC.h5,0.646±0.172,1.288±0.999,0.667±0.188,0.99716,Whole,2024-11-02 01:20:12
PhysNet16_RLAP_MMPD.h5,14.269±0.203,22.4±3.36,16.322±0.223,0.28189,Window,2024-11-02 01:27:53
PhysNet16_RLAP_MMPD.h5,10.69±0.47,16.107±4.556,11.88±0.47,0.45995,Whole,2024-11-02 01:27:53
PhysNet16_RLAP_COHFACE.h5,9.956±0.306,16.443±3.688,14.337±0.45,0.33346,Window,2024-11-02 01:28:51
PhysNet16_RLAP_COHFACE.h5,6.395±0.502,9.068±3.559,9.224±0.703,0.61972,Whole,2024-11-02 01:28:51
PhysNet16_RLAP_PURE.h5,7.281±0.706,20.812±7.397,10.846±1.079,0.58642,Window,2024-11-02 01:29:19
PhysNet16_RLAP_PURE.h5,6.823±1.913,16.202±10.015,9.985±3.014,0.71711,Whole,2024-11-02 01:29:19
PhysNet16_RLAP_UBFC.h5,1.358±0.109,2.831±1.367,1.395±0.114,0.98619,Window,2024-11-02 01:29:37
PhysNet16_RLAP_UBFC.h5,0.653±0.126,1.047±0.634,0.657±0.128,0.99829,Whole,2024-11-02 01:29:37
PhysNet16_RLAP_MMPD.h5,16.2±0.197,23.285±3.326,18.617±0.212,0.24289,Window,2024-11-02 01:39:59
PhysNet16_RLAP_MMPD.h5,12.472±0.487,17.644±4.886,14.065±0.484,0.39334,Whole,2024-11-02 01:39:59
PhysNet16_RLAP_COHFACE.h5,13.49±0.328,19.468±3.972,19.223±0.496,0.15855,Window,2024-11-02 01:40:09
PhysNet16_RLAP_COHFACE.h5,9.848±0.627,12.709±4.105,14.201±0.921,0.27392,Whole,2024-11-02 01:40:09
PhysNet16_RLAP_PURE.h5,17.128±0.686,25.539±7.21,21.842±0.583,-0.01551,Window,2024-11-02 01:40:14
PhysNet16_RLAP_PURE.h5,16.805±2.391,24.893±13.582,21.26±1.733,-0.02551,Whole,2024-11-02 01:40:14
PhysNet16_RLAP_UBFC.h5,1.373±0.105,2.766±1.346,1.414±0.112,0.98668,Window,2024-11-02 01:40:17
PhysNet16_RLAP_UBFC.h5,0.644±0.138,1.099±0.707,0.652±0.142,0.99792,Whole,2024-11-02 01:40:17
PhysNet16TN_RLAP_MMPD.h5,11.125±0.181,18.991±3.114,12.685±0.199,0.39774,Window,2024-11-02 01:43:11
PhysNet16TN_RLAP_MMPD.h5,7.943±0.388,12.727±3.934,8.805±0.382,0.64348,Whole,2024-11-02 01:43:11
PhysNet16TN_RLAP_COHFACE.h5,3.419±0.187,8.676±2.699,4.596±0.236,0.73428,Window,2024-11-02 01:43:21
PhysNet16TN_RLAP_COHFACE.h5,2.438±0.404,5.715±3.185,3.19±0.477,0.87319,Whole,2024-11-02 01:43:21
PhysNet16TN_RLAP_PURE.h5,0.522±0.064,1.841±1.012,0.798±0.107,0.99681,Window,2024-11-02 01:43:26
PhysNet16TN_RLAP_PURE.h5,0.336±0.117,0.957±0.869,0.523±0.22,0.99919,Whole,2024-11-02 01:43:26
PhysNet16TN_RLAP_UBFC.h5,1.219±0.09,2.382±1.094,1.249±0.095,0.99014,Window,2024-11-02 01:43:30
PhysNet16TN_RLAP_UBFC.h5,0.478±0.085,0.73±0.446,0.465±0.078,0.99917,Whole,2024-11-02 01:43:30
PhysNet8_RLAP_MMPD.h5,25.189±0.241,32.484±3.931,30.469±0.314,0.01713,Window,2024-11-02 01:47:01
PhysNet8_RLAP_MMPD.h5,17.786±0.584,23.237±5.626,21.465±0.749,0.0241,Whole,2024-11-02 01:47:01
PhysNet8_RLAP_COHFACE.h5,14.217±0.367,21.177±4.365,19.198±0.512,0.08892,Window,2024-11-02 01:47:18
PhysNet8_RLAP_COHFACE.h5,10.722±0.768,14.553±5.276,14.335±0.928,0.17254,Whole,2024-11-02 01:47:18
PhysNet8_RLAP_PURE.h5,40.672±0.938,48.21±8.471,67.995±1.9,0.03108,Window,2024-11-02 01:47:25
PhysNet8_RLAP_PURE.h5,37.254±2.338,41.356±13.919,63.261±5.531,0.06691,Whole,2024-11-02 01:47:25
PhysNet8_RLAP_UBFC.h5,1.281±0.087,2.357±1.077,1.318±0.09,0.99031,Window,2024-11-02 01:47:30
PhysNet8_RLAP_UBFC.h5,0.498±0.087,0.754±0.47,0.495±0.076,0.99906,Whole,2024-11-02 01:47:30
PhysNet8TN_RLAP_MMPD.h5,11.888±0.185,19.738±3.163,14.065±0.226,0.37269,Window,2024-11-02 01:50:52
PhysNet8TN_RLAP_MMPD.h5,7.577±0.348,11.694±3.461,8.919±0.409,0.66053,Whole,2024-11-02 01:50:52
PhysNet8TN_RLAP_COHFACE.h5,5.26±0.261,12.343±3.284,6.727±0.313,0.54559,Window,2024-11-02 01:51:09
PhysNet8TN_RLAP_COHFACE.h5,4.43±0.58,8.647±4.227,5.558±0.662,0.74815,Whole,2024-11-02 01:51:09
PhysNet8TN_RLAP_PURE.h5,0.696±0.099,2.824±1.872,1.141±0.188,0.99244,Window,2024-11-02 01:51:16
PhysNet8TN_RLAP_PURE.h5,0.416±0.097,0.855±0.553,0.698±0.191,0.99941,Whole,2024-11-02 01:51:16
PhysNet8TN_RLAP_UBFC.h5,1.15±0.08,2.16±1.013,1.171±0.082,0.99195,Window,2024-11-02 01:51:21
PhysNet8TN_RLAP_UBFC.h5,0.462±0.092,0.754±0.469,0.455±0.086,0.99911,Whole,2024-11-02 01:51:21
PhysNet4_RLAP_MMPD.h5,31.528±0.213,36.364±3.943,37.555±0.261,-0.01523,Window,2024-11-02 01:54:45
PhysNet4_RLAP_MMPD.h5,23.801±0.63,28.749±6.233,28.134±0.707,-0.02618,Whole,2024-11-02 01:54:45
PhysNet4_RLAP_COHFACE.h5,38.515±0.488,43.799±5.833,57.777±0.878,-0.00452,Window,2024-11-02 01:55:02
PhysNet4_RLAP_COHFACE.h5,36.851±1.607,42.211±10.471,55.271±2.837,-0.00382,Whole,2024-11-02 01:55:02
PhysNet4_RLAP_PURE.h5,24.475±0.881,34.51±8.245,35.306±1.327,0.05886,Window,2024-11-02 01:55:09
PhysNet4_RLAP_PURE.h5,18.224±2.01,23.884±11.22,26.358±2.502,0.15268,Whole,2024-11-02 01:55:09
PhysNet4_RLAP_UBFC.h5,31.412±0.883,37.316±7.755,31.735±0.845,0.13342,Window,2024-11-02 01:55:14
PhysNet4_RLAP_UBFC.h5,23.145±2.165,27.067±11.013,22.722±1.923,0.27786,Whole,2024-11-02 01:55:14
PhysNet4TN_RLAP_MMPD.h5,13.105±0.189,20.72±3.219,15.421±0.227,0.31216,Window,2024-11-02 01:58:23
PhysNet4TN_RLAP_MMPD.h5,8.699±0.383,13.12±3.91,10.12±0.43,0.56341,Whole,2024-11-02 01:58:23
PhysNet4TN_RLAP_COHFACE.h5,5.131±0.263,12.371±3.363,6.582±0.316,0.54525,Window,2024-11-02 01:58:40
PhysNet4TN_RLAP_COHFACE.h5,4.173±0.579,8.508±4.248,5.242±0.667,0.74557,Whole,2024-11-02 01:58:40
PhysNet4TN_RLAP_PURE.h5,1.223±0.192,5.447±3.138,2.048±0.339,0.97191,Window,2024-11-02 01:58:47
PhysNet4TN_RLAP_PURE.h5,0.934±0.298,2.469±1.885,1.564±0.548,0.9948,Whole,2024-11-02 01:58:47
PhysNet4TN_RLAP_UBFC.h5,1.279±0.095,2.509±1.264,1.311±0.097,0.98906,Window,2024-11-02 01:58:52
PhysNet4TN_RLAP_UBFC.h5,0.538±0.111,0.898±0.572,0.531±0.106,0.99872,Whole,2024-11-02 01:58:52
EfficientPhystn_RLAP_MMPD.h5,15.996±0.234,25.54±3.785,18.443±0.265,0.27665,Window,2024-11-05 17:36:15
EfficientPhystn_RLAP_MMPD.h5,10.329±0.489,16.23±4.793,11.534±0.495,0.48498,Whole,2024-11-05 17:36:15
EfficientPhystn_RLAP_COHFACE.h5,3.723±0.211,9.753±3.018,5.039±0.27,0.70349,Window,2024-11-05 17:37:02
EfficientPhystn_RLAP_COHFACE.h5,2.984±0.452,6.513±3.675,3.987±0.544,0.84824,Whole,2024-11-05 17:37:02
EfficientPhystn_RLAP_PURE.h5,0.673±0.08,2.314±1.625,0.965±0.099,0.9949,Window,2024-11-05 17:37:17
EfficientPhystn_RLAP_PURE.h5,0.38±0.111,0.934±0.723,0.512±0.15,0.99925,Whole,2024-11-05 17:37:17
EfficientPhystn_RLAP_UBFC.h5,1.331±0.088,2.419±1.059,1.36±0.091,0.98997,Window,2024-11-05 17:37:24
EfficientPhystn_RLAP_UBFC.h5,0.533±0.086,0.771±0.452,0.551±0.086,0.99917,Whole,2024-11-05 17:37:24
EfficientPhystn_RLAP_MMPD.h5,15.58±0.231,25.037±3.721,17.938±0.26,0.30145,Window,2024-11-12 00:39:01
EfficientPhystn_RLAP_MMPD.h5,10.45±0.485,16.236±4.726,11.71±0.497,0.50385,Whole,2024-11-12 00:39:01
EfficientPhystn_RLAP_COHFACE.h5,3.504±0.205,9.438±3.01,4.731±0.26,0.71654,Window,2024-11-12 00:39:29
EfficientPhystn_RLAP_COHFACE.h5,2.722±0.434,6.19±3.83,3.624±0.513,0.85931,Whole,2024-11-12 00:39:29
EfficientPhystn_RLAP_PURE.h5,0.623±0.055,1.648±0.899,0.924±0.084,0.99742,Window,2024-11-12 00:39:38
EfficientPhystn_RLAP_PURE.h5,0.314±0.069,0.617±0.441,0.452±0.116,0.99964,Whole,2024-11-12 00:39:38
EfficientPhystn_RLAP_UBFC.h5,1.407±0.1,2.685±1.198,1.445±0.104,0.98767,Window,2024-11-12 00:39:45
EfficientPhystn_RLAP_UBFC.h5,0.582±0.112,0.932±0.573,0.611±0.126,0.9987,Whole,2024-11-12 00:39:45
EfficientPhys_RLAP_MMPD.h5,13.163±0.189,20.772±3.164,15.379±0.223,0.31407,Window,2024-11-12 01:07:58
EfficientPhys_RLAP_MMPD.h5,9.342±0.408,14.025±3.935,10.754±0.457,0.53484,Whole,2024-11-12 01:07:58
EfficientPhys_RLAP_COHFACE.h5,5.711±0.232,11.435±3.167,8.188±0.344,0.57136,Window,2024-11-12 01:10:43
EfficientPhys_RLAP_COHFACE.h5,4.342±0.407,6.784±2.872,6.266±0.6,0.80694,Whole,2024-11-12 01:10:43
EfficientPhys_RLAP_PURE.h5,2.245±0.28,8.04±3.599,3.883±0.527,0.94018,Window,2024-11-12 01:11:18
EfficientPhys_RLAP_PURE.h5,1.684±0.453,3.868±2.456,3.016±0.887,0.98793,Whole,2024-11-12 01:11:18
EfficientPhys_RLAP_UBFC.h5,1.664±0.183,4.505±3.087,1.695±0.163,0.96453,Window,2024-11-12 01:11:42
EfficientPhys_RLAP_UBFC.h5,0.83±0.236,1.738±1.506,0.825±0.22,0.99483,Whole,2024-11-12 01:11:42
EfficientPhystn_RLAP_MMPD.h5,15.596±0.231,25.036±3.704,17.928±0.259,0.29251,Window,2024-11-12 01:41:01
EfficientPhystn_RLAP_MMPD.h5,10.681±0.488,16.443±4.698,11.929±0.492,0.49011,Whole,2024-11-12 01:41:01
EfficientPhystn_RLAP_COHFACE.h5,3.44±0.198,9.155±2.91,4.714±0.259,0.73407,Window,2024-11-12 01:41:28
EfficientPhystn_RLAP_COHFACE.h5,2.611±0.412,5.891±3.719,3.535±0.495,0.87164,Whole,2024-11-12 01:41:28
EfficientPhystn_RLAP_PURE.h5,0.614±0.066,1.922±1.132,0.924±0.11,0.99649,Window,2024-11-12 01:41:37
EfficientPhystn_RLAP_PURE.h5,0.341±0.097,0.817±0.683,0.523±0.179,0.99938,Whole,2024-11-12 01:41:37
EfficientPhystn_RLAP_UBFC.h5,1.342±0.09,2.449±1.071,1.372±0.092,0.98971,Window,2024-11-12 01:41:44
EfficientPhystn_RLAP_UBFC.h5,0.541±0.085,0.773±0.445,0.559±0.086,0.99917,Whole,2024-11-12 01:41:44
EfficientPhystn_RLAP_MMPD.h5,15.639±0.231,25.096±3.712,18.005±0.26,0.29833,Window,2024-11-12 03:14:24
EfficientPhystn_RLAP_MMPD.h5,10.418±0.486,16.23±4.701,11.645±0.499,0.50088,Whole,2024-11-12 03:14:24
EfficientPhystn_RLAP_COHFACE.h5,3.613±0.21,9.664±3.057,4.9±0.274,0.7073,Window,2024-11-12 03:14:50
EfficientPhystn_RLAP_COHFACE.h5,2.822±0.436,6.251±3.557,3.8±0.539,0.8578,Whole,2024-11-12 03:14:50
EfficientPhystn_RLAP_PURE.h5,0.622±0.057,1.688±0.905,0.92±0.089,0.99729,Window,2024-11-12 03:14:59
EfficientPhystn_RLAP_PURE.h5,0.308±0.074,0.649±0.495,0.443±0.129,0.99961,Whole,2024-11-12 03:14:59
EfficientPhystn_RLAP_UBFC.h5,1.38±0.097,2.602±1.166,1.417±0.102,0.9884,Window,2024-11-12 03:15:05
EfficientPhystn_RLAP_UBFC.h5,0.588±0.108,0.914±0.581,0.62±0.125,0.99872,Whole,2024-11-12 03:15:05
TNTS-SAN-F2W_RLAP_MMPD.h5,17.714±0.247,27.46±3.912,19.683±0.254,0.22627,Window,2024-11-18 17:35:55
TNTS-SAN-F2W_RLAP_MMPD.h5,15.386±0.599,21.731±5.628,16.807±0.578,0.3672,Whole,2024-11-18 17:35:55
TNTS-SAN-F2W_RLAP_COHFACE.h5,4.726±0.25,11.698±3.321,6.158±0.304,0.60196,Window,2024-11-18 17:36:06
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.955±0.505,7.58±3.917,5.078±0.591,0.81468,Whole,2024-11-18 17:36:06
TNTS-SAN-F2W_RLAP_PURE.h5,0.6±0.08,2.281±1.631,0.938±0.143,0.99506,Window,2024-11-18 17:36:12
TNTS-SAN-F2W_RLAP_PURE.h5,0.342±0.096,0.811±0.606,0.542±0.177,0.99941,Whole,2024-11-18 17:36:12
TNTS-SAN-F2W_RLAP_UBFC.h5,1.415±0.098,2.65±1.148,1.452±0.101,0.98796,Window,2024-11-18 17:36:16
TNTS-SAN-F2W_RLAP_UBFC.h5,0.664±0.119,1.017±0.62,0.678±0.118,0.9984,Whole,2024-11-18 17:36:16
TNTS-SAN-F2W_RLAP_MMPD.h5,11.486±0.193,20.029±3.255,13.963±0.248,0.4273,Window,2024-11-18 17:52:35
TNTS-SAN-F2W_RLAP_MMPD.h5,7.03±0.335,11.098±3.289,8.654±0.442,0.69418,Whole,2024-11-18 17:52:35
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.346±0.199,9.158±2.958,4.533±0.259,0.72593,Window,2024-11-18 17:52:47
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.382±0.421,5.898±4.043,3.174±0.519,0.86217,Whole,2024-11-18 17:52:47
TNTS-SAN-F2W_RLAP_PURE.h5,0.446±0.053,1.532±0.88,0.677±0.086,0.99778,Window,2024-11-18 17:52:53
TNTS-SAN-F2W_RLAP_PURE.h5,0.248±0.076,0.633±0.512,0.373±0.134,0.99964,Whole,2024-11-18 17:52:53
TNTS-SAN-F2W_RLAP_UBFC.h5,1.194±0.087,2.314±1.078,1.224±0.093,0.99068,Window,2024-11-18 17:52:57
TNTS-SAN-F2W_RLAP_UBFC.h5,0.501±0.095,0.792±0.473,0.51±0.099,0.99897,Whole,2024-11-18 17:52:57
TNTS-SAN-F2W_RLAP_MMPD.h5,12.508±0.198,20.962±3.303,14.743±0.236,0.39648,Window,2024-11-18 18:13:08
TNTS-SAN-F2W_RLAP_MMPD.h5,7.694±0.351,11.836±3.508,8.936±0.39,0.66576,Whole,2024-11-18 18:13:08
TNTS-SAN-F2W_RLAP_MMPD.h5,11.677±0.194,20.172±3.255,14.098±0.245,0.42229,Window,2024-11-18 18:27:17
TNTS-SAN-F2W_RLAP_MMPD.h5,6.96±0.335,11.056±3.374,8.469±0.429,0.69487,Whole,2024-11-18 18:27:17
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.231±0.195,8.931±2.934,4.466±0.265,0.7388,Window,2024-11-18 18:27:30
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.399±0.396,5.613±3.49,3.255±0.493,0.87729,Whole,2024-11-18 18:27:30
TNTS-SAN-F2W_RLAP_PURE.h5,0.542±0.106,2.966±2.57,0.841±0.185,0.99166,Window,2024-11-18 18:27:35
TNTS-SAN-F2W_RLAP_PURE.h5,0.34±0.158,1.262±1.196,0.549±0.303,0.99854,Whole,2024-11-18 18:27:35
TNTS-SAN-F2W_RLAP_UBFC.h5,1.219±0.086,2.32±1.069,1.246±0.092,0.99064,Window,2024-11-18 18:27:40
TNTS-SAN-F2W_RLAP_UBFC.h5,0.523±0.084,0.757±0.429,0.525±0.081,0.9991,Whole,2024-11-18 18:27:40
TNTS-SAN-F2W_RLAP_MMPD.h5,11.726±0.194,20.254±3.269,14.033±0.24,0.41653,Window,2024-11-18 18:45:28
TNTS-SAN-F2W_RLAP_MMPD.h5,6.906±0.341,11.133±3.497,8.236±0.406,0.69273,Whole,2024-11-18 18:45:28
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.263±0.202,9.243±3.151,4.509±0.282,0.72026,Window,2024-11-18 18:45:40
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.216±0.417,5.783±3.928,2.995±0.533,0.86652,Whole,2024-11-18 18:45:40
TNTS-SAN-F2W_RLAP_PURE.h5,0.441±0.053,1.516±0.894,0.663±0.085,0.99782,Window,2024-11-18 18:45:45
TNTS-SAN-F2W_RLAP_PURE.h5,0.237±0.071,0.598±0.464,0.35±0.122,0.99968,Whole,2024-11-18 18:45:45
TNTS-SAN-F2W_RLAP_UBFC.h5,1.22±0.089,2.361±1.085,1.253±0.096,0.99026,Window,2024-11-18 18:45:50
TNTS-SAN-F2W_RLAP_UBFC.h5,0.519±0.086,0.763±0.441,0.524±0.085,0.99904,Whole,2024-11-18 18:45:50
TNTS-SAN-F2W_RLAP_MMPD.h5,10.613±0.174,18.189±2.97,11.614±0.177,0.36126,Window,2024-11-18 19:12:59
TNTS-SAN-F2W_RLAP_MMPD.h5,8.985±0.458,14.774±4.478,9.604±0.434,0.53526,Whole,2024-11-18 19:12:59
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.499±0.146,6.736±2.255,3.388±0.187,0.82791,Window,2024-11-18 19:13:13
TNTS-SAN-F2W_RLAP_COHFACE.h5,1.819±0.354,4.889±3.187,2.41±0.435,0.90586,Whole,2024-11-18 19:13:13
